dataset,epoch,question_type,question_class_size,model,loss_function,train_loss,train_acc,test_acc,label_size_i,label_size_comp,label_size_cand
MNIST,1,Which_one,1,MLP,MAE_LOSS,1.1789517790079116,0.5376,0.5471,1049.0,8951.0,
MNIST,2,Which_one,1,MLP,MAE_LOSS,0.4153035029768944,0.8047,0.8168,1049.0,8951.0,
MNIST,3,Which_one,1,MLP,MAE_LOSS,0.11175118759274483,0.853,0.8594,1049.0,8951.0,
MNIST,4,Which_one,1,MLP,MAE_LOSS,-0.12723866924643518,0.8739,0.8785,1049.0,8951.0,
MNIST,5,Which_one,1,MLP,MAE_LOSS,-0.18814227283000945,0.8828,0.8854,1049.0,8951.0,
MNIST,6,Which_one,1,MLP,MAE_LOSS,-0.16261835992336274,0.8878,0.8907,1049.0,8951.0,
MNIST,7,Which_one,1,MLP,MAE_LOSS,-0.18643363639712335,0.8931,0.8964,1049.0,8951.0,
MNIST,8,Which_one,1,MLP,MAE_LOSS,-0.21624836921691895,0.8956,0.8952,1049.0,8951.0,
MNIST,9,Which_one,1,MLP,MAE_LOSS,-0.3326279252767563,0.8977,0.8945,1049.0,8951.0,
MNIST,10,Which_one,1,MLP,MAE_LOSS,-0.21186406686902046,0.8978,0.8991,1049.0,8951.0,
MNIST,11,Which_one,1,MLP,MAE_LOSS,-0.259469810500741,0.8989,0.8992,1049.0,8951.0,
MNIST,12,Which_one,1,MLP,MAE_LOSS,-0.25456639677286147,0.9025,0.9006,1049.0,8951.0,
MNIST,13,Which_one,1,MLP,MAE_LOSS,-0.26557118371129035,0.9015,0.9008,1049.0,8951.0,
MNIST,14,Which_one,1,MLP,MAE_LOSS,-0.3478170454502106,0.9045,0.9048,1049.0,8951.0,
MNIST,15,Which_one,1,MLP,MAE_LOSS,-0.2939618296921253,0.9035,0.9045,1049.0,8951.0,
MNIST,16,Which_one,1,MLP,MAE_LOSS,-0.2931012399494648,0.9035,0.9042,1049.0,8951.0,
MNIST,17,Which_one,1,MLP,MAE_LOSS,-0.24368660449981688,0.9056,0.9052,1049.0,8951.0,
MNIST,18,Which_one,1,MLP,MAE_LOSS,-0.3111311111599207,0.9059,0.9054,1049.0,8951.0,
MNIST,19,Which_one,1,MLP,MAE_LOSS,-0.33262306079268456,0.9057,0.9043,1049.0,8951.0,
MNIST,20,Which_one,1,MLP,MAE_LOSS,-0.34988129436969756,0.9058,0.9058,1049.0,8951.0,
MNIST,21,Which_one,1,MLP,MAE_LOSS,-0.32861913479864596,0.9065,0.9039,1049.0,8951.0,
MNIST,22,Which_one,1,MLP,MAE_LOSS,-0.31769576519727705,0.9079,0.9066,1049.0,8951.0,
MNIST,23,Which_one,1,MLP,MAE_LOSS,-0.2851275846362114,0.9073,0.9071,1049.0,8951.0,
MNIST,24,Which_one,1,MLP,MAE_LOSS,-0.35697827488183975,0.9074,0.9045,1049.0,8951.0,
MNIST,25,Which_one,1,MLP,MAE_LOSS,-0.32916589789092543,0.9079,0.907,1049.0,8951.0,
MNIST,26,Which_one,1,MLP,MAE_LOSS,-0.33113228231668473,0.9092,0.9066,1049.0,8951.0,
MNIST,27,Which_one,1,MLP,MAE_LOSS,-0.3452138304710388,0.9086,0.9074,1049.0,8951.0,
MNIST,28,Which_one,1,MLP,MAE_LOSS,-0.3269543007016182,0.9075,0.9068,1049.0,8951.0,
MNIST,29,Which_one,1,MLP,MAE_LOSS,-0.35435268506407736,0.909,0.9078,1049.0,8951.0,
MNIST,30,Which_one,1,MLP,MAE_LOSS,-0.34126694202423097,0.9073,0.9068,1049.0,8951.0,
MNIST,31,Which_one,1,MLP,MAE_LOSS,-0.315373021364212,0.9095,0.9081,1049.0,8951.0,
MNIST,32,Which_one,1,MLP,MAE_LOSS,-0.33796574994921685,0.9096,0.9072,1049.0,8951.0,
MNIST,33,Which_one,1,MLP,MAE_LOSS,-0.3775577381253242,0.9094,0.9069,1049.0,8951.0,
MNIST,34,Which_one,1,MLP,MAE_LOSS,-0.31241651698946954,0.9097,0.907,1049.0,8951.0,
