dataset,epoch,question_type,question_class_size,model,loss_function,train_loss,train_acc,test_acc
Cifar10,1,Which_one,1,MLP,MAE_LOSS,1.699872118,0.2258,0.2241
Cifar10,2,Which_one,1,MLP,MAE_LOSS,1.616237975,0.26266,0.2611
Cifar10,3,Which_one,1,MLP,MAE_LOSS,1.584902647,0.25266,0.2527
Cifar10,4,Which_one,1,MLP,MAE_LOSS,1.536978927,0.2631,0.2589
Cifar10,5,Which_one,1,MLP,MAE_LOSS,1.500567666,0.28586,0.2875
Cifar10,6,Which_one,1,MLP,MAE_LOSS,1.475063655,0.27684,0.2758
Cifar10,7,Which_one,1,MLP,MAE_LOSS,1.477771994,0.30168,0.3022
Cifar10,8,Which_one,1,MLP,MAE_LOSS,1.452898788,0.28506,0.2845
Cifar10,9,Which_one,1,MLP,MAE_LOSS,1.48939127,0.2851,0.2868
Cifar10,10,Which_one,1,MLP,MAE_LOSS,1.449651883,0.3036,0.3065
Cifar10,11,Which_one,1,MLP,MAE_LOSS,1.43786327,0.30352,0.3029
Cifar10,12,Which_one,1,MLP,MAE_LOSS,1.470381437,0.28142,0.2812
Cifar10,13,Which_one,1,MLP,MAE_LOSS,1.466904357,0.30574,0.3037
Cifar10,14,Which_one,1,MLP,MAE_LOSS,1.495492768,0.28116,0.2844
Cifar10,15,Which_one,1,MLP,MAE_LOSS,1.439684607,0.30854,0.3036
Cifar10,16,Which_one,1,MLP,MAE_LOSS,1.471509472,0.29192,0.2923
Cifar10,17,Which_one,1,MLP,MAE_LOSS,1.412298513,0.3201,0.3138
Cifar10,18,Which_one,1,MLP,MAE_LOSS,1.394363102,0.3078,0.3065
Cifar10,19,Which_one,1,MLP,MAE_LOSS,1.431297524,0.30388,0.3016
Cifar10,20,Which_one,1,MLP,MAE_LOSS,1.418203081,0.31856,0.32
Cifar10,21,Which_one,1,MLP,MAE_LOSS,1.420709922,0.27844,0.2814
Cifar10,22,Which_one,1,MLP,MAE_LOSS,1.497687223,0.30372,0.3065
Cifar10,23,Which_one,1,MLP,MAE_LOSS,1.429201027,0.29162,0.2933
Cifar10,24,Which_one,1,MLP,MAE_LOSS,1.477179424,0.30218,0.3027
Cifar10,25,Which_one,1,MLP,MAE_LOSS,1.442470253,0.3112,0.3061
Cifar10,26,Which_one,1,MLP,MAE_LOSS,1.436727088,0.26304,0.2626
Cifar10,27,Which_one,1,MLP,MAE_LOSS,1.451675939,0.30264,0.2984
Cifar10,28,Which_one,1,MLP,MAE_LOSS,1.405967942,0.31698,0.3209
Cifar10,29,Which_one,1,MLP,MAE_LOSS,1.382923961,0.31104,0.313
Cifar10,30,Which_one,1,MLP,MAE_LOSS,1.401083788,0.30292,0.302
Cifar10,31,Which_one,1,MLP,MAE_LOSS,1.421694723,0.28742,0.2852
Cifar10,32,Which_one,1,MLP,MAE_LOSS,1.403657339,0.30768,0.3037
Cifar10,33,Which_one,1,MLP,MAE_LOSS,1.376519404,0.32326,0.3245
Cifar10,34,Which_one,1,MLP,MAE_LOSS,1.39013137,0.31676,0.3149
Cifar10,35,Which_one,1,MLP,MAE_LOSS,1.394683246,0.31442,0.3169
Cifar10,36,Which_one,1,MLP,MAE_LOSS,1.369728779,0.31582,0.3108
Cifar10,37,Which_one,1,MLP,MAE_LOSS,1.397568975,0.32256,0.3207
Cifar10,38,Which_one,1,MLP,MAE_LOSS,1.393461163,0.3083,0.3037
Cifar10,39,Which_one,1,MLP,MAE_LOSS,1.389078088,0.3126,0.3091
Cifar10,40,Which_one,1,MLP,MAE_LOSS,1.430598314,0.28522,0.2813
Cifar10,41,Which_one,1,MLP,MAE_LOSS,1.416871661,0.3119,0.3102
Cifar10,42,Which_one,1,MLP,MAE_LOSS,1.417507752,0.3066,0.2953
Cifar10,43,Which_one,1,MLP,MAE_LOSS,1.403003078,0.32104,0.3168
Cifar10,44,Which_one,1,MLP,MAE_LOSS,1.358396099,0.32716,0.3248
Cifar10,45,Which_one,1,MLP,MAE_LOSS,1.393597735,0.28208,0.2793
Cifar10,46,Which_one,1,MLP,MAE_LOSS,1.408783341,0.30494,0.3003
Cifar10,47,Which_one,1,MLP,MAE_LOSS,1.412841559,0.31954,0.3132
Cifar10,48,Which_one,1,MLP,MAE_LOSS,1.409889146,0.30512,0.2989
Cifar10,49,Which_one,1,MLP,MAE_LOSS,1.361646146,0.32382,0.3185
Cifar10,50,Which_one,1,MLP,MAE_LOSS,1.365963305,0.31192,0.3004
Cifar10,51,Which_one,1,MLP,MAE_LOSS,1.375392596,0.32508,0.3248
Cifar10,52,Which_one,1,MLP,MAE_LOSS,1.343142791,0.32938,0.3266
Cifar10,53,Which_one,1,MLP,MAE_LOSS,1.389659752,0.30978,0.3071
Cifar10,54,Which_one,1,MLP,MAE_LOSS,1.390340423,0.32858,0.3258
Cifar10,55,Which_one,1,MLP,MAE_LOSS,1.392828416,0.29146,0.2887
Cifar10,56,Which_one,1,MLP,MAE_LOSS,1.39253028,0.3276,0.3244
Cifar10,57,Which_one,1,MLP,MAE_LOSS,1.327000003,0.32668,0.3193
Cifar10,58,Which_one,1,MLP,MAE_LOSS,1.332378502,0.32512,0.326
Cifar10,59,Which_one,1,MLP,MAE_LOSS,1.348209991,0.33356,0.3313
